,word,count
43,여건,2.0
43,마련,2.0
43,방법,2.0
43,강구,2.0
44,진정,2.0
44,애국,2.0
45,존재,2.0
45,존재자체,4.0
45,자체,2.0
45,역사,2.0
46,축하,2.0
48,정국,2.0
48,생일날,3.0
48,핫백,2.0
48,오늘,2.0
48,행복,2.0
49,축하,2.0
50,와우,2.0
50,진심,2.0
50,이네,2.0
50,군면제면제요청,7.0
50,면제,2.0
50,요청,2.0
50,국민,2.0
50,청원,2.0
50,번갈,2.0
50,국민청원,4.0
50,가봐야겠어,5.0
50,군면제,3.0
50,최고,2.0
50,최고자랑,4.0
50,자랑,2.0
50,시국,2.0
50,기분,2.0
50,아이,2.0
50,보배,2.0
50,감사,2.0
50,건강,2.0
50,공연,2.0
50,나이,2.0
50,보여,2.0
51,쵝오,2.0
51,축하,2.0
52,최고,2.0
53,최고,2.0
53,군면제,3.0
53,면제,2.0
53,남자,2.0
53,인정,2.0
53,국가,2.0
53,국가홍보,4.0
53,홍보,2.0
54,보드,2.0
54,보드싱글,4.0
54,싱글,2.0
54,강남스타일,5.0
54,최고,2.0
54,이네,2.0
54,누구,2.0
54,이젠,2.0
54,범접,2.0
54,범접불가,4.0
54,불가,2.0
56,독도,2.0
57,경제,2.0
57,경제뉴스,4.0
57,뉴스,2.0
58,군면제,3.0
58,면제,2.0
58,문재인,3.0
58,재인,2.0
58,대한,2.0
58,대한민국,4.0
58,민국,2.0
58,위상,2.0
58,한둘,2.0
59,개월,2.0
59,복무,2.0
59,병장,2.0
59,만기,2.0
59,만기전역,4.0
59,전역,2.0
59,직장인,3.0
59,얘네들,3.0
59,군면제,3.0
59,면제,2.0
59,인정,2.0
60,노력,2.0
60,업적,2.0
60,사람,2.0
60,수식어,3.0
61,여자,2.0
61,기본적,3.0
61,관심,2.0
61,언론,2.0
61,보드,2.0
61,난리,2.0
61,챠트,2.0
61,무엇,2.0
61,조차,2.0
61,모름,2.0
61,일본,2.0
61,년대,2.0
61,대한,2.0
61,대한민국,4.0
61,민국,2.0
61,이상,2.0
61,대한민국임,5.0
61,지금,2.0
61,스페인,3.0
61,로스,2.0
61,리오도,3.0
61,오도,2.0
61,마카레나로,5.0
61,카레,2.0
61,나로,2.0
61,그해,2.0
61,초토화,3.0
61,결국,2.0
61,팬덤,2.0
61,유튜브,3.0
61,튜브,2.0
61,조회,2.0
61,조회수로,4.0
61,수로,2.0
61,아무,2.0
61,국위,2.0
61,국위선양,4.0
61,선양,2.0
61,국위선양선양,6.0
61,대한민국가,5.0
61,국가,2.0
61,정상,2.0
62,자랑,2.0
62,넘넘,2.0
62,축하,2.0
62,정국,2.0
62,정국이도,4.0
62,이도,2.0
62,생일,2.0
63,트럼프,3.0
63,시기,2.0
63,해라,2.0
63,기레,2.0
64,대한,2.0
64,대한민국,4.0
64,민국,2.0
64,자랑,2.0
64,보드,2.0
64,진심,2.0
64,축하,2.0
65,수가,2.0
65,댓글,2.0
65,쪽빠리,3.0
65,빠리,2.0
66,얘들,2.0
66,최고,2.0
68,최고,2.0
69,축하,2.0
69,축하해용,4.0
69,해용,2.0
69,보드,2.0
69,차트,2.0
69,대한,2.0
69,대한민국,4.0
69,민국,2.0
70,재앙,2.0
70,파구리,3.0
70,구리,2.0
71,쭵쭵,2.0
71,공공,2.0
71,비튀,2.0
71,모집하겠숩,5.0
71,집하,2.0
71,겠숩,2.0
72,자랑,2.0
73,진정,2.0
73,애국자,3.0
74,미국,2.0
74,메이저,3.0
74,시상식,3.0
74,세계,2.0
74,차트,2.0
74,최초,2.0
74,공개,2.0
74,다이너마이트,6.0
74,무대,2.0
74,서울,2.0
74,모습,2.0
74,배경,2.0
74,광고,2.0
74,광고효과,4.0
74,효과,2.0
74,최고,2.0
74,완벽,2.0
74,대한,2.0
74,대한민국,4.0
74,대한민국아이돌,7.0
74,민국,2.0
74,아이,2.0
74,보드,2.0
74,싱글,2.0
74,싱글차트,4.0
74,축하,2.0
75,기분,2.0
75,뉴스,2.0
75,보드,2.0
75,최고,2.0
77,소식,2.0
77,쪽바리,3.0
77,바리,2.0
77,새끼,2.0
77,분탕,2.0
78,초록,2.0
78,초록뱀,3.0
78,주가,2.0
79,시기,2.0
80,군면제,3.0
80,면제,2.0
82,우리,2.0
83,콩쿠,2.0
83,입상자,3.0
83,군면제,3.0
83,면제,2.0
84,어제,2.0
84,미국,2.0
84,시상식,3.0
84,관왕,2.0
84,영화,2.0
84,기생충,3.0
84,수상,2.0
84,기사,2.0
85,군면제,3.0
85,면제,2.0
85,여자,2.0
85,비티엑스,4.0
85,엑스,2.0
85,쟤네들,3.0
86,고라니,3.0
86,세계인,3.0
86,영웅,2.0
87,국내,2.0
87,국악,2.0
87,국악대회,4.0
87,대회,2.0
87,거기,2.0
87,입상한,3.0
87,상한,2.0
87,군면제,3.0
87,면제,2.0
87,세계,2.0
87,인정,2.0
87,면죄,2.0
87,사람,2.0
88,웬일,2.0
88,위라니,3.0
88,라니,2.0
88,소름,2.0
89,최고,2.0
89,국위,2.0
89,양국,2.0
89,양국위선양선양,7.0
89,선양,2.0
89,자랑,2.0
89,아저씨,3.0
89,응원,2.0
91,자랑,2.0
92,난리통,3.0
92,소식,2.0
92,군면제,3.0
92,면제,2.0
93,대한,2.0
93,대한민국,4.0
93,민국,2.0
93,도움,2.0
93,하나,2.0
